,File,Energy inside GT,Pointing game,Head,Level
140,original_LS-218_4_3,0.3281663656234741,Hit,P3,LEVEL_II
141,original_LS-218_3_4,0.695680558681488,Hit,P3,LEVEL_II
142,original_LS-608_1_6,0.2699194550514221,Hit,P3,LEVEL_II
143,original_LS-172_3_1,0.10949878394603729,Hit,P3,LEVEL_II
144,original_LS-399_3_2,0.21783199906349182,Miss,P3,LEVEL_II
145,original_LS-021_1_4,0.3077562749385834,Hit,P3,LEVEL_II
146,original_LS-168_0_2,0.0458027720451355,Hit,P3,LEVEL_II
147,original_LS-276_2_5,0.03781123459339142,Miss,P3,LEVEL_II
148,original_LS-021_1_3,0.17551937699317932,Hit,P3,LEVEL_II
149,original_LS-168_1_5,0.04777665436267853,Hit,P3,LEVEL_II
150,original_LS-541_2_2,0.8687536716461182,Hit,P3,LEVEL_II
151,original_LS-605_2_2,0.07497730851173401,Hit,P3,LEVEL_II
152,original_LS-218_4_4,0.2805880308151245,Hit,P3,LEVEL_II
153,original_LS-506_0_2,0.38012707233428955,Hit,P3,LEVEL_II
154,original_LS-541_4_3,0.32119986414909363,Hit,P3,LEVEL_II
155,original_LS-168_2_6,0.5061531662940979,Hit,P3,LEVEL_II
156,original_LS-218_1_0,0.36137571930885315,Hit,P3,LEVEL_II
157,original_LS-172_2_3,0.3087833821773529,Hit,P3,LEVEL_II
158,original_LS-218_2_1,0.23561687767505646,Miss,P3,LEVEL_II
159,original_LS-276_2_0,0.07453840970993042,Miss,P3,LEVEL_II
160,original_LS-021_2_2,0.42009249329566956,Hit,P3,LEVEL_II
161,original_LS-605_1_4,0.17173628509044647,Hit,P3,LEVEL_II
162,original_LS-580_3_3,0.22544121742248535,Hit,P3,LEVEL_II
163,original_LS-608_4_1,0.06662915647029877,Miss,P3,LEVEL_II
164,original_LS-172_3_5,0.12290753424167633,Hit,P3,LEVEL_II
165,original_LS-541_1_7,0.023859689012169838,Miss,P3,LEVEL_II
166,original_LS-506_0_3,0.13273738324642181,Hit,P3,LEVEL_II
167,original_LS-021_3_4,0.04405498504638672,Hit,P3,LEVEL_II
168,original_LS-276_3_1,0.033884238451719284,Miss,P3,LEVEL_II
169,original_LS-541_3_5,0.001889897626824677,Miss,P3,LEVEL_II
170,original_LS-021_4_2,0.040359146893024445,Hit,P3,LEVEL_II
171,original_LS-506_0_1,0.08982674032449722,Miss,P3,LEVEL_II
172,original_LS-608_5_2,0.3426060378551483,Hit,P3,LEVEL_II
173,original_LS-172_2_1,0.18022336065769196,Hit,P3,LEVEL_II
174,original_LS-506_2_5,0.06962449103593826,Hit,P3,LEVEL_II
175,original_LS-506_3_4,0.05490115284919739,Miss,P3,LEVEL_II
176,original_LS-399_2_1,0.08959134668111801,Hit,P3,LEVEL_II
177,original_LS-608_0_3,0.17971454560756683,Hit,P3,LEVEL_II
178,original_LS-541_2_1,0.20281939208507538,Hit,P3,LEVEL_II
179,original_LS-021_1_6,0.31079795956611633,Hit,P3,LEVEL_II
180,original_LS-168_2_1,0.16218575835227966,Hit,P3,LEVEL_II
181,original_LS-172_0_4,0.023122983053326607,Hit,P3,LEVEL_II
182,original_LS-541_3_2,0.91344153881073,Hit,P3,LEVEL_II
183,original_LS-218_3_5,0.7641253471374512,Hit,P3,LEVEL_II
184,original_LS-021_3_3,0.2564955949783325,Hit,P3,LEVEL_II
185,original_LS-218_4_6,0.016848990693688393,Miss,P3,LEVEL_II
186,original_LS-218_1_1,0.7341122627258301,Hit,P3,LEVEL_II
187,original_LS-541_2_6,0.4821081757545471,Miss,P3,LEVEL_II
188,original_LS-608_1_7,0.011828402057290077,Miss,P3,LEVEL_II
189,original_LS-168_2_3,0.11036624014377594,Hit,P3,LEVEL_II
190,original_LS-168_3_2,0.11649538576602936,Hit,P3,LEVEL_II
191,original_LS-021_0_6,0.047995034605264664,Hit,P3,LEVEL_II
192,original_LS-168_2_5,0.6494147777557373,Miss,P3,LEVEL_II
193,original_LS-515_2_2,0.04654717072844505,Miss,P3,LEVEL_II
194,original_LS-276_1_5,0.03263206034898758,Miss,P3,LEVEL_II
195,original_LS-541_5_6,0.2545394003391266,Hit,P3,LEVEL_II
196,original_LS-168_3_6,0.32887935638427734,Hit,P3,LEVEL_II
197,original_LS-608_0_2,0.332022488117218,Hit,P3,LEVEL_II
198,original_LS-506_4_7,0.11022794246673584,Miss,P3,LEVEL_II
199,original_LS-515_2_1,0.08273535966873169,Hit,P3,LEVEL_II
200,original_LS-608_0_6,0.20765650272369385,Hit,P3,LEVEL_II
201,original_LS-218_3_3,0.4217604696750641,Hit,P3,LEVEL_II
202,original_LS-218_4_2,0.07851377874612808,Miss,P3,LEVEL_II
203,original_LS-172_1_1,0.03327568992972374,Miss,P3,LEVEL_II
204,original_LS-276_1_7,0.15905213356018066,Hit,P3,LEVEL_II
205,original_LS-541_4_6,0.25543010234832764,Hit,P3,LEVEL_II
206,original_LS-276_2_4,0.47894489765167236,Miss,P3,LEVEL_II
207,original_LS-399_2_0,0.14609520137310028,Hit,P3,LEVEL_II
208,original_LS-021_1_5,0.5337724089622498,Hit,P3,LEVEL_II
209,original_LS-218_3_1,0.017919428646564484,Miss,P3,LEVEL_II
210,original_LS-276_5_2,0.0471947081387043,Hit,P3,LEVEL_II
211,original_LS-506_4_2,0.24040727317333221,Hit,P3,LEVEL_II
212,original_LS-608_5_1,0.012868606485426426,Miss,P3,LEVEL_II
213,original_LS-399_4_3,0.22995641827583313,Hit,P3,LEVEL_II
214,original_LS-276_5_7,0.013598593883216381,Miss,P3,LEVEL_II
215,original_LS-172_0_2,0.03863079473376274,Miss,P3,LEVEL_II
216,original_LS-276_5_6,0.0042306846007704735,Miss,P3,LEVEL_II
217,original_LS-506_1_3,0.027491973713040352,Miss,P3,LEVEL_II
218,original_LS-021_4_3,0.06676491349935532,Hit,P3,LEVEL_II
219,original_LS-168_1_4,0.02588815614581108,Hit,P3,LEVEL_II
220,original_LS-021_2_3,0.2453368455171585,Hit,P3,LEVEL_II
221,original_LS-541_2_5,0.891392707824707,Hit,P3,LEVEL_II
222,original_LS-506_2_4,0.18293850123882294,Miss,P3,LEVEL_II
223,original_LS-168_3_0,0.39940398931503296,Hit,P3,LEVEL_II
224,original_LS-399_4_4,0.16830933094024658,Hit,P3,LEVEL_II
225,original_LS-608_0_5,0.2379940301179886,Hit,P3,LEVEL_II
226,original_LS-021_1_7,0.005458032712340355,Miss,P3,LEVEL_II
227,original_LS-276_5_5,0.024445204064249992,Miss,P3,LEVEL_II
228,original_LS-021_3_2,0.5968856811523438,Hit,P3,LEVEL_II
229,original_LS-399_1_3,0.15430910885334015,Miss,P3,LEVEL_II
230,original_LS-608_5_6,0.058920565992593765,Hit,P3,LEVEL_II
231,original_LS-399_2_3,0.6253155469894409,Hit,P3,LEVEL_II
232,original_LS-580_1_3,0.3035196363925934,Hit,P3,LEVEL_II
233,original_LS-399_2_4,0.2512720823287964,Hit,P3,LEVEL_II
234,original_LS-541_4_2,0.5451282262802124,Hit,P3,LEVEL_II
235,original_LS-515_2_3,0.5902397036552429,Hit,P3,LEVEL_II
236,original_LS-541_1_6,0.8599911332130432,Hit,P3,LEVEL_II
237,original_LS-608_4_2,0.6178256869316101,Hit,P3,LEVEL_II
238,original_LS-276_4_5,0.010905835777521133,Miss,P3,LEVEL_II
239,original_LS-399_3_4,0.4144994020462036,Hit,P3,LEVEL_II
240,original_LS-515_1_3,0.07449688762426376,Miss,P3,LEVEL_II
241,original_LS-218_0_3,0.1927841752767563,Miss,P3,LEVEL_II
242,original_LS-541_4_1,0.8678528070449829,Hit,P3,LEVEL_II
243,original_LS-608_0_7,0.039301659911870956,Miss,P3,LEVEL_II
244,original_LS-218_0_1,0.15452279150485992,Hit,P3,LEVEL_II
245,original_LS-218_4_5,0.16498009860515594,Hit,P3,LEVEL_II
246,original_LS-021_2_6,0.03222375363111496,Hit,P3,LEVEL_II
247,original_LS-276_4_7,0.041598401963710785,Miss,P3,LEVEL_II
248,original_LS-172_1_3,0.057084277272224426,Hit,P3,LEVEL_II
249,original_LS-168_4_0,0.0,Miss,P3,LEVEL_II
250,original_LS-608_5_7,0.046148624271154404,Miss,P3,LEVEL_II
251,original_LS-218_1_4,0.33872634172439575,Hit,P3,LEVEL_II
252,original_LS-399_3_3,0.3828933537006378,Hit,P3,LEVEL_II
253,original_LS-399_3_1,0.12170185148715973,Hit,P3,LEVEL_II
254,original_LS-541_0_6,0.6330310106277466,Hit,P3,LEVEL_II
255,original_LS-605_3_3,0.01848209649324417,Miss,P3,LEVEL_II
256,original_LS-580_2_2,0.003023050259798765,Miss,P3,LEVEL_II
