,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
125,original_LS-115_1_5,0.0,0.14365720748901367,confounder,P3,LEVEL_I,0,3
126,original_LS-235_0_0,0.0,0.44297143816947937,confounder,P3,LEVEL_I,0,3
127,original_LS-235_3_1,0.0,0.21333318948745728,confounder,P3,LEVEL_I,0,3
128,original_LS-115_4_2,0.0,0.26276353001594543,confounder,P3,LEVEL_I,0,8
129,original_LS-115_5_1,0.0,0.07931268960237503,confounder,P3,LEVEL_I,0,3
130,original_LS-010_1_0,0.5299211144447327,0.0,thyrocyte,P3,LEVEL_I,3,2
131,original_LS-567_2_8,0.0,0.007186538074165583,background,P3,LEVEL_I,0,3
132,original_LS-115_2_2,0.0,0.3090878427028656,confounder,P3,LEVEL_I,0,8
133,original_LS-115_4_4,0.0,0.0944160670042038,confounder,P3,LEVEL_I,0,3
134,original_LS-310_5_4,0.0,0.0,background,P3,LEVEL_I,1,0
135,original_LS-115_0_0,0.0,0.16607211530208588,confounder,P3,LEVEL_I,0,5
136,original_LS-010_2_7,0.0,0.661933958530426,confounder,P3,LEVEL_I,2,6
137,original_LS-257_5_4,0.0,0.027045434340834618,confounder,P3,LEVEL_I,0,1
138,original_LS-567_4_2,0.0,0.21802794933319092,confounder,P3,LEVEL_I,0,6
139,original_LS-010_3_3,0.38113027811050415,0.0,thyrocyte,P3,LEVEL_I,4,3
140,original_LS-310_1_1,0.0,1.0000001192092896,confounder,P3,LEVEL_I,12,32
141,original_LS-310_3_0,0.0,0.10638303309679031,confounder,P3,LEVEL_I,0,6
142,original_LS-567_2_4,0.0,0.316323459148407,confounder,P3,LEVEL_I,0,16
143,original_LS-310_4_5,0.8950262665748596,0.0,thyrocyte,P3,LEVEL_I,7,0
144,original_LS-235_3_5,0.0,0.39096277952194214,confounder,P3,LEVEL_I,0,3
145,original_LS-010_1_5,0.8022103309631348,0.0,thyrocyte,P3,LEVEL_I,7,2
146,original_LS-257_3_5,0.0,0.056442227214574814,confounder,P3,LEVEL_I,0,2
147,original_LS-115_3_1,0.0,0.21450869739055634,confounder,P3,LEVEL_I,0,9
148,original_LS-310_2_0,0.03408605605363846,0.8241727948188782,confounder,P3,LEVEL_I,8,38
149,original_LS-235_4_4,0.0,0.43605002760887146,confounder,P3,LEVEL_I,0,5
150,original_LS-310_0_3,0.060474198311567307,0.8125884532928467,confounder,P3,LEVEL_I,12,34
151,original_LS-235_1_2,0.0,0.21662144362926483,confounder,P3,LEVEL_I,0,5
152,original_LS-567_4_6,0.0,0.3401087522506714,confounder,P3,LEVEL_I,0,11
153,original_LS-010_4_3,0.0,0.0,background,P3,LEVEL_I,4,8
154,original_LS-310_1_4,0.0,0.0,background,P3,LEVEL_I,14,13
155,original_LS-257_0_1,0.0,0.24019645154476166,confounder,P3,LEVEL_I,0,9
156,original_LS-310_1_2,0.17144198715686798,0.8180289268493652,confounder,P3,LEVEL_I,10,35
157,original_LS-310_4_1,0.0,0.04282401129603386,confounder,P3,LEVEL_I,0,1
158,original_LS-010_3_7,0.0,1.0,confounder,P3,LEVEL_I,2,3
159,original_LS-257_4_4,0.0,0.15949977934360504,confounder,P3,LEVEL_I,0,5
160,original_LS-235_0_4,0.0,0.13626547157764435,confounder,P3,LEVEL_I,0,3
161,original_LS-115_1_7,0.0,0.20010381937026978,confounder,P3,LEVEL_I,0,5
162,original_LS-310_4_3,0.00026739356690086424,0.04246590659022331,confounder,P3,LEVEL_I,1,1
163,original_LS-257_5_6,0.0,0.1330156773328781,confounder,P3,LEVEL_I,0,2
164,original_LS-257_0_6,0.0,0.16996294260025024,confounder,P3,LEVEL_I,0,8
165,original_LS-567_0_4,0.0,0.010718952864408493,confounder,P3,LEVEL_I,0,1
166,original_LS-115_3_0,0.0,0.14054343104362488,confounder,P3,LEVEL_I,0,5
167,original_LS-010_5_3,0.0,0.07490834593772888,confounder,P3,LEVEL_I,0,4
168,original_LS-235_1_6,0.0,0.26023080945014954,confounder,P3,LEVEL_I,0,8
169,original_LS-010_0_4,0.0,0.07301963865756989,confounder,P3,LEVEL_I,0,2
170,original_LS-115_0_5,0.0,0.16930261254310608,confounder,P3,LEVEL_I,0,3
171,original_LS-235_0_7,0.0,0.2502003610134125,background,P3,LEVEL_I,0,2
172,original_LS-010_2_2,0.7825765013694763,0.00018422309949528426,thyrocyte,P3,LEVEL_I,17,6
173,original_LS-257_0_3,0.0,0.23294298350811005,confounder,P3,LEVEL_I,0,13
174,original_LS-567_0_1,0.0,0.5091131329536438,confounder,P3,LEVEL_I,0,28
175,original_LS-310_0_6,0.0726165771484375,0.732875406742096,confounder,P3,LEVEL_I,5,17
176,original_LS-235_2_2,0.0,0.23641234636306763,confounder,P3,LEVEL_I,0,1
177,original_LS-235_2_1,0.0,0.14356134831905365,confounder,P3,LEVEL_I,0,3
178,original_LS-567_1_6,0.37760621309280396,0.0,thyrocyte,P3,LEVEL_I,4,4
179,original_LS-567_3_3,0.0,0.06324705481529236,confounder,P3,LEVEL_I,0,3
180,original_LS-257_4_6,0.0,0.4097989499568939,confounder,P3,LEVEL_I,0,8
181,original_LS-235_1_7,0.0,0.29279592633247375,background,P3,LEVEL_I,0,3
182,original_LS-567_1_8,0.0,0.007555396296083927,background,P3,LEVEL_I,0,4
183,original_LS-310_5_5,0.0,0.0,background,P3,LEVEL_I,1,0
184,original_LS-567_3_7,0.0,0.312777042388916,confounder,P3,LEVEL_I,0,11
185,original_LS-257_2_5,0.7790806293487549,0.030986474826931953,thyrocyte,P3,LEVEL_I,14,4
186,original_LS-115_2_0,0.0,0.05547315627336502,confounder,P3,LEVEL_I,0,1
187,original_LS-567_0_0,0.0,0.3910607397556305,confounder,P3,LEVEL_I,0,16
