,File,Energy inside GT,Pointing game,Head,Level
185,original_LS-218_4_6,0.0046203238889575005,Miss,P3,LEVEL_II
186,original_LS-218_1_1,0.742609977722168,Hit,P3,LEVEL_II
187,original_LS-541_2_6,0.06644511222839355,Miss,P3,LEVEL_II
188,original_LS-608_1_7,0.002922270679846406,Miss,P3,LEVEL_II
189,original_LS-168_2_3,0.05965143069624901,Miss,P3,LEVEL_II
190,original_LS-168_3_2,0.029472770169377327,Miss,P3,LEVEL_II
191,original_LS-021_0_6,0.05185309424996376,Miss,P3,LEVEL_II
192,original_LS-168_2_5,0.6490995287895203,Hit,P3,LEVEL_II
193,original_LS-515_2_2,0.03487294912338257,Hit,P3,LEVEL_II
194,original_LS-276_1_5,0.015517819672822952,Hit,P3,LEVEL_II
195,original_LS-541_5_6,0.030132291838526726,Miss,P3,LEVEL_II
196,original_LS-168_3_6,0.3223262131214142,Hit,P3,LEVEL_II
197,original_LS-608_0_2,0.317119300365448,Hit,P3,LEVEL_II
198,original_LS-506_4_7,0.05736643448472023,Miss,P3,LEVEL_II
199,original_LS-515_2_1,0.06803498417139053,Hit,P3,LEVEL_II
200,original_LS-608_0_6,0.17648924887180328,Hit,P3,LEVEL_II
201,original_LS-218_3_3,0.32424473762512207,Hit,P3,LEVEL_II
202,original_LS-218_4_2,0.03761621564626694,Miss,P3,LEVEL_II
203,original_LS-172_1_1,0.07203812897205353,Hit,P3,LEVEL_II
204,original_LS-276_1_7,0.031389083713293076,Miss,P3,LEVEL_II
205,original_LS-541_4_6,0.04721280187368393,Miss,P3,LEVEL_II
206,original_LS-276_2_4,0.1492525041103363,Miss,P3,LEVEL_II
207,original_LS-399_2_0,0.10896530002355576,Miss,P3,LEVEL_II
208,original_LS-021_1_5,0.6921435594558716,Hit,P3,LEVEL_II
209,original_LS-218_3_1,0.004380334634333849,Miss,P3,LEVEL_II
210,original_LS-276_5_2,0.00683091813698411,Miss,P3,LEVEL_II
211,original_LS-506_4_2,0.23747116327285767,Hit,P3,LEVEL_II
212,original_LS-608_5_1,0.0038116027135401964,Miss,P3,LEVEL_II
213,original_LS-399_4_3,0.17377598583698273,Hit,P3,LEVEL_II
214,original_LS-276_5_7,0.00045777097693644464,Miss,P3,LEVEL_II
215,original_LS-172_0_2,0.102503202855587,Miss,P3,LEVEL_II
216,original_LS-276_5_6,0.0011147159384563565,Miss,P3,LEVEL_II
