,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
1616,original_LS-421_3_4,0.0,0.10737881809473038,background,P3,LEVEL_IV,0,7
1617,original_LS-439_2_6,0.9011304378509521,0.0,thyrocyte,P3,LEVEL_IV,113,0
1618,original_LS-421_1_3,0.08751418441534042,0.0,background,P3,LEVEL_IV,5,0
1619,original_LS-558_2_2,0.003082849318161607,0.5513909459114075,background,P3,LEVEL_IV,1,23
1620,original_LS-016_1_8,0.0,0.0021942451130598783,background,P3,LEVEL_IV,0,1
1621,original_LS-022_2_5,0.33491256833076477,0.002855910686776042,thyrocyte,P3,LEVEL_IV,14,3
1622,original_LS-022_2_4,0.6602324843406677,0.0,thyrocyte,P3,LEVEL_IV,76,0
1623,original_LS-421_3_1,0.0,0.029502108693122864,background,P3,LEVEL_IV,0,2
1624,original_LS-288_2_5,0.8305991291999817,0.05195407569408417,thyrocyte,P3,LEVEL_IV,23,3
1625,original_LS-153_5_1,0.053069815039634705,0.0,background,P3,LEVEL_IV,4,0
1626,original_LS-153_2_1,0.029998669400811195,0.0,background,P3,LEVEL_IV,9,0
1627,original_LS-504_3_2,0.0,0.0886729434132576,background,P3,LEVEL_IV,0,6
1628,original_LS-153_1_3,0.038292817771434784,0.0,background,P3,LEVEL_IV,6,0
1629,original_LS-527_4_1,0.4751743972301483,0.020989136770367622,thyrocyte,P3,LEVEL_IV,9,8
1630,original_LS-022_2_7,0.0,0.053329356014728546,background,P3,LEVEL_IV,0,4
1631,original_LS-475_0_2,0.25983086228370667,0.18487641215324402,thyrocyte,P3,LEVEL_IV,31,35
1632,original_LS-532_2_6,0.6415755748748779,0.0017260685563087463,thyrocyte,P3,LEVEL_IV,8,4
1633,original_LS-558_2_1,0.0023979907855391502,0.44310009479522705,background,P3,LEVEL_IV,4,22
1634,original_LS-558_3_7,0.03045518510043621,0.26307427883148193,background,P3,LEVEL_IV,2,14
1635,original_LS-456_1_4,0.4930429756641388,0.0027357025537639856,thyrocyte,P3,LEVEL_IV,30,3
1636,original_LS-504_1_6,0.0,0.2819460332393646,confounder,P3,LEVEL_IV,0,22
1637,original_LS-558_0_0,0.0,0.4327917993068695,background,P3,LEVEL_IV,0,19
1638,original_LS-532_4_3,0.9230390787124634,0.0023957856465131044,thyrocyte,P3,LEVEL_IV,75,3
1639,original_LS-504_2_7,0.0,0.1454952210187912,background,P3,LEVEL_IV,0,10
1640,original_LS-016_3_3,0.5708235502243042,0.0,background,P3,LEVEL_IV,21,0
1641,original_LS-207_3_3,0.6080987453460693,0.05600103735923767,thyrocyte,P3,LEVEL_IV,11,4
1642,original_LS-207_2_6,0.09881248325109482,0.25336164236068726,background,P3,LEVEL_IV,17,12
1643,original_LS-022_3_7,0.0,0.015499291941523552,background,P3,LEVEL_IV,0,2
1644,original_LS-016_0_1,0.0,0.029033804312348366,background,P3,LEVEL_IV,0,2
1645,original_LS-558_2_7,0.02085314691066742,0.16869837045669556,background,P3,LEVEL_IV,1,9
1646,original_LS-504_1_2,0.0,0.03754387050867081,background,P3,LEVEL_IV,0,4
1647,original_LS-037_3_7,0.0,0.02044137567281723,background,P3,LEVEL_IV,0,2
1648,original_LS-493_0_1,0.0,0.382802277803421,confounder,P3,LEVEL_IV,0,49
1649,original_LS-153_2_3,0.8242878913879395,0.0,thyrocyte,P3,LEVEL_IV,39,0
1650,original_LS-504_1_4,0.0037031315732747316,0.12770302593708038,background,P3,LEVEL_IV,2,6
1651,original_LS-558_4_3,0.40914008021354675,0.02627304568886757,background,P3,LEVEL_IV,8,11
1652,original_LS-475_0_3,0.0010961389634758234,0.22439278662204742,confounder,P3,LEVEL_IV,21,30
1653,original_LS-475_2_4,0.0,0.0736260637640953,background,P3,LEVEL_IV,0,11
1654,original_LS-475_2_2,0.018818804994225502,0.3013489246368408,confounder,P3,LEVEL_IV,14,26
1655,original_LS-504_3_7,0.0,0.10278064757585526,background,P3,LEVEL_IV,0,8
1656,original_LS-456_5_6,0.0,0.022689739242196083,background,P3,LEVEL_IV,0,3
1657,original_LS-532_2_3,0.7996365427970886,0.03403611481189728,thyrocyte,P3,LEVEL_IV,34,7
1658,original_LS-421_4_6,0.0,0.04392441362142563,background,P3,LEVEL_IV,0,4
1659,original_LS-558_4_6,0.5002272725105286,0.03064817562699318,thyrocyte,P3,LEVEL_IV,13,9
1660,original_LS-504_4_2,0.0,0.2533020079135895,confounder,P3,LEVEL_IV,0,17
1661,original_LS-022_0_1,0.0,0.10392006486654282,background,P3,LEVEL_IV,0,7
1662,original_LS-037_5_4,0.0,0.0064356569200754166,background,P3,LEVEL_IV,0,1
1663,original_LS-504_4_8,0.0,0.0006181724602356553,background,P3,LEVEL_IV,0,1
1664,original_LS-475_3_4,0.0,0.01537072379142046,background,P3,LEVEL_IV,0,4
1665,original_LS-016_5_1,0.0,0.010749978013336658,background,P3,LEVEL_IV,0,1
1666,original_LS-207_3_5,0.043066397309303284,0.34147077798843384,thyrocyte,P3,LEVEL_IV,2,7
1667,original_LS-493_2_3,0.0,0.2272646129131317,confounder,P3,LEVEL_IV,0,32
1668,original_LS-153_2_8,0.0,0.0,background,P3,LEVEL_IV,1,0
1669,original_LS-288_1_4,0.884536623954773,0.014975171536207199,thyrocyte,P3,LEVEL_IV,31,4
1670,original_LS-527_2_1,0.0015934015391394496,0.2122890055179596,background,P3,LEVEL_IV,5,12
1671,original_LS-207_5_5,0.07862257957458496,0.022722920402884483,background,P3,LEVEL_IV,3,3
1672,original_LS-532_1_4,0.9180457592010498,0.01714358665049076,thyrocyte,P3,LEVEL_IV,85,5
1673,original_LS-207_2_2,0.7888294458389282,0.2184053659439087,thyrocyte,P3,LEVEL_IV,33,15
1674,original_LS-439_3_3,0.21473217010498047,0.0,background,P3,LEVEL_IV,17,0
1675,original_LS-439_2_0,0.7207611203193665,0.011317483149468899,thyrocyte,P3,LEVEL_IV,69,2
1676,original_LS-037_4_1,0.0,0.03477206453680992,background,P3,LEVEL_IV,0,2
1677,original_LS-207_1_3,0.17427746951580048,0.8055945038795471,thyrocyte,P3,LEVEL_IV,5,12
1678,original_LS-288_2_1,0.8992283344268799,0.0005941594135947526,thyrocyte,P3,LEVEL_IV,39,2
1679,original_LS-456_4_2,0.0,0.04667586833238602,background,P3,LEVEL_IV,0,2
1680,original_LS-288_1_5,0.02502833679318428,0.18138611316680908,background,P3,LEVEL_IV,4,9
1681,original_LS-456_3_0,0.0,0.24886217713356018,confounder,P3,LEVEL_IV,0,11
1682,original_LS-153_0_6,0.31761470437049866,0.0,background,P3,LEVEL_IV,10,0
1683,original_LS-421_4_1,0.0,0.036359868943691254,background,P3,LEVEL_IV,0,3
1684,original_LS-439_2_1,0.8274903893470764,0.0,thyrocyte,P3,LEVEL_IV,81,0
1685,original_LS-153_4_2,0.0063948133029043674,0.0,background,P3,LEVEL_IV,2,0
1686,original_LS-527_5_3,0.35170286893844604,0.0,thyrocyte,P3,LEVEL_IV,15,0
1687,original_LS-439_3_5,0.5834785103797913,0.0,thyrocyte,P3,LEVEL_IV,41,0
1688,original_LS-439_2_3,0.47806939482688904,0.0,thyrocyte,P3,LEVEL_IV,23,0
1689,original_LS-016_5_5,0.0,0.019148673862218857,background,P3,LEVEL_IV,0,2
1690,original_LS-527_3_5,0.8961581587791443,0.0040470608510077,thyrocyte,P3,LEVEL_IV,67,4
1691,original_LS-153_2_4,0.8306204080581665,0.0,thyrocyte,P3,LEVEL_IV,40,0
1692,original_LS-439_2_8,0.001675901934504509,0.0,background,P3,LEVEL_IV,3,0
1693,original_LS-207_4_1,0.0397995300590992,0.029434069991111755,thyrocyte,P3,LEVEL_IV,6,4
1694,original_LS-037_1_4,0.68372642993927,0.0,thyrocyte,P3,LEVEL_IV,15,0
1695,original_LS-022_3_5,0.5725736021995544,0.01331798080354929,thyrocyte,P3,LEVEL_IV,21,4
1696,original_LS-016_0_8,0.0,0.000496767635922879,background,P3,LEVEL_IV,0,1
1697,original_LS-532_1_3,0.923610270023346,0.01232457347214222,thyrocyte,P3,LEVEL_IV,96,3
1698,original_LS-037_3_4,0.08066918700933456,0.0,background,P3,LEVEL_IV,9,0
1699,original_LS-558_3_1,0.05212048813700676,0.27291956543922424,background,P3,LEVEL_IV,8,10
1700,original_LS-207_4_3,0.0,0.26938846707344055,background,P3,LEVEL_IV,0,7
1701,original_LS-439_5_6,0.05801711231470108,0.0,thyrocyte,P3,LEVEL_IV,6,0
1702,original_LS-421_4_2,0.0,0.00875759869813919,background,P3,LEVEL_IV,0,1
1703,original_LS-439_4_7,0.36603155732154846,0.0,thyrocyte,P3,LEVEL_IV,16,0
1704,original_LS-456_3_8,0.0,0.0019310993375256658,background,P3,LEVEL_IV,0,1
1705,original_LS-558_3_6,0.19745683670043945,0.212276428937912,background,P3,LEVEL_IV,10,11
1706,original_LS-288_2_6,0.9099988341331482,0.027178656309843063,thyrocyte,P3,LEVEL_IV,49,5
1707,original_LS-288_2_8,0.0,0.0011167398188263178,background,P3,LEVEL_IV,0,2
1708,original_LS-439_4_2,0.5151508450508118,0.01722717471420765,thyrocyte,P3,LEVEL_IV,24,1
